id,text,sentiment
670,"I also like LOCATION2 and LOCATION1 , it 's very vibrant",None
55,I also remember LOCATION1,None
533,I always go shopping and to the cinema in LOCATION1,None
95,I always wanted to live around LOCATION1,None
341,"I am 22 and live in LOCATION1 which i would call Southeast London, and so do all of my mates",None
307,I am a cockney born in LOCATION1 in 1928.,None
700,"I am afraid no part of London in particular is not a safe place to live , especially for a 20 year old woman , but in comparison , South London , and LOCATION2 have higher crime rates and LOCATION1 has the highest rate of crime and it has been named `` The Murder Capital of Europe",None
590,"I am going to Royal LOCATION2 in LOCATION1, Surrey, whilst he is going to LCC which is more central",None
267,I can't really complain about LOCATION1 (bit boring no entertainment),None
340,"I can't understand the thumbs down for LOCATION1, that area is having lots of money thrown at it right now",None
524,I come from LOCATION1 and identify about 70% with Surrey and about 30% with south London,None
91,"I come from LOCATION1 which is a similarly impoverished London borough in fact, it has a worse reputation than LOCATION1",None
229,"I currently live in LOCATION1, and am planning on moving slightly closer into the centre of London",None
47,I didn't even know there was a north LOCATION1,None
490,"I didn't make much and paid 300 a month for a shared flat in LOCATION1, in LOCATION2 near Green Lanes",None
201,I don't know LOCATION1 well but I imagine it is the same,None
50,I don't know LOCATION2 but LOCATION1 is one of the nicest areas of London,None
544,I dunno about cafes but LOCATION1 will never lack a teenager,None
60,I dunno but theres alot of Mediterranean people in North LOCATION1,None
701,I guess I lived in LOCATION1 and it wasnt the best but the public transport in LOCATION2 is the best,None
441,I guess it's kinda similar to LOCATION1,None
479,I had to travel from LOCATION1 to West London every day,None
502,I have lived in LOCATION1 for 20+ years and never had a problem day or night,None
388,I have lived in LOCATION1 for the last 8 years,None
285,"I have lived in big cities before so will not be shocked by a lot of stuff , just wanted to get a feel for the okayish places LOCATION1 is good , its close enough to the London but far enough to be away from too much of the noise and action if you end up in a coucil estate they are n't actually too bad , it 's quiet family based , if you are able to have the attitude of i shut my front door i shut everyone and everything else out you 'll be fine",None
543,"I have plenty of friends from LA who live in LOCATION1 and love it, but everyone is different of course",None
326,I have read that LOCATION1 village is a nice area,None
602,"I have the chance to move to E16 1TX area, it is West LOCATION1",None
527,I heard from a distant school friend that LOCATION1 ( which is presumably near this address ) is 60 % or more Bangladeshi and that it 's not the safest area,None
403,I know I learned then  cheapest area is London borough of LOCATION1,None
520,I know a bit about LOCATION1 as I shopped there loads but as an area to live in not sure,None
303,I know a lot of people that live in LOCATION1 and find it easy to get into central London,None
650,I like LOCATION2 and LOCATION1 etc,None
405,I live 2 miles from LOCATION1,None
129,"I live LOCATION1, and I love it  Used to live in LOCATION1",None
21,I live in LOCATION1 and I have a wonderful street with great neighbours,None
744,I live in LOCATION1 and it's nice and it's cheapish but avoid the rest of LOCATION2,None
356,I live in LOCATION1 and it's not ALL 'grotty',None
62,"I live in LOCATION1 and my partner was born here, we want OUT",None
168,I live in LOCATION1 and to be honest there's no pubs or clubs round here,None
311,I live in LOCATION1 and used this website as I have a guest room,None
309,I live in LOCATION1 and work at London Bridge Railway Station   love it,None
623,I live in LOCATION1 area and it is really a great place,None
598,I live in LOCATION1 so am somewhat biased about London areas,None
338,I live in LOCATION1 which is at the end of the Jubilee Line,None
537,"I live in LOCATION1, and I really like it",None
167,"I live in LOCATION1, which would be characterised by having a lot of greenery (for Zone 2) and seems to attract lots of twenty-something professional types",Positive
242,"I live in London N19 area, near LOCATION1 Road and Crouch Hill",None
265,I live in a middle class outer London suburb called LOCATION1 in the south of the Greater London area,None
288,"I live in the South-West of London, in LOCATION1",None
132,I live near LOCATION1 and I have to say that it's a pretty nice area,None
6,I live near the LOCATION1; have never felt unsafe,None
580,"I live pretty close to LOCATION1 and it is a good area to live in - good transport, lots of cafes, close to all sorts of amenities",None
87,I live right near LOCATION1 and have never had any problems even at night,None
681,I lived in LOCATION1 and LOCATION2 and had no trouble at all,None
103,I lived in LOCATION1 for a couple of years  but found the people to be not too friendly and didn'r feel safe there,None
328,I lived in LOCATION1 for years,None
410,"I lived in LOCATION1, and I had two bikes stolen",None
739,I lived in London for 6 months and I would reccommend living in LOCATION2 or LOCATION1,None
449,I lived in SE London (LOCATION1) for 11 years and most of the people there are white,None
564,I love LOCATION1,None
412,I meant to say as well I was offered LOCATION1 but was told that this place is really violent,None
488,I prefer LOCATION1,None
565,"I really do not believe that LOCATION1 , although working class , has a higher crime rate than any other East End areas",None
704,"I really like the fact that LOCATION2 is a beautiful place, especially LOCATION1",None
268,I reckon LOCATION1 offers some really great value accommodation and actually I havnt heard anything negative about it,None
424,I recommend LOCATION1,None
313,"I rent a nice one bedroom flat in SE London near LOCATION1 for 700 per month, downside is that it's not near the tube",None
599,I say LOCATION1,None
152,"I say LOCATION1 as their is a large community of expats from Australia , New Zealand and South Africa there making for an interesting and varied range of people along with the local English people",None
77,I spent several pleasant days in LOCATION1 while doing research last summer at the British Library,None
0,I stayed in LOCATION1  and loved the area,None
713,I suggest looking for areas a bit further out in LOCATION2 or LOCATION1,None
690,"I suggest the LOCATION1 area, especially around LOCATION2",None
398,I think LOCATION1 ( N7 ) is getting expensive for very solid reasons,None
535,I think you should not hesitate about all this stuff and go ahead with it I worked extensively around London and I would agree that LOCATION1 would not be my first choice to live,None
9,I used to live in LOCATION1 (Nth London and before it changed its name) - it's now a slum,None
463,"I used to live in LOCATION1,  which is near LOCATION2 and it wasn't too bad really",None
7,I used to live in an apartment in LOCATION1,None
202,"I used to live there, as a female sharing a rented flat  Um  LOCATION2 is not in West London, it is in LOCATION1",None
572,"I used to work in LOCATION1 and it was OK  it's fairly diverse as there are a lot of students in the area attending Queen Mary's, and the locals are either asian (mostly bangladeshi I think) or proper cockneys :0)",None
608,I was going to LOCATION1 when I was 14. My sister used to go when she was 14 and up and often went with her friends,None
180,"I was looking at LOCATION1, since they have a lot of cheap places there",None
26,"I wasn't very impressed with LOCATION1, the main street looked dirty",None
446,I will be sharing with another person who needs to be able to take the tube to Liverpool street or LOCATION1,None
251,I will be working in LOCATION2 for the first 6 mths then LOCATION1 there after,None
24,I would go for LOCATION1 the posh end  I used to live in North LOCATION2 which is on the outskirts of London very near Essex,None
429,I would imagine the LOCATION1 apartments are brand new and built around the same time as all the olympic building was going on,None
676,"I would recommend you carefully consider LOCATION2 and LOCATION1 when you make your choice, as these are known to be peaceful and well maintained boroughs",None
59,"I would say LOCATION1, probably not the nicest area in terms of beauty but it is relatively easy to get about from there, not too far away from central London",None
523,I would say that you'd be safer on the opposite side of  LOCATION2 - an area like LOCATION1,None
747,I would stay away from LOCATION2 or LOCATION1 just because I have heard of people being bothered quite a bit there,None
253,I would suggest going to LOCATION1 on Sunday for breakfast/lunch around 12ish,None
86,I wouldn't advise you walking alone late at night in the LOCATION1 area   there's quite a lot of prostitutes in that area in the evening and you don't want to get accosted,None
241,I wouldn't even visit never mind live in LOCATION1 personally speaking,None
160,I wouldn't live in the centre of LOCATION1 itself as it is really busy and noisy,None
576,"I'd go to LOCATION1 - its an up and coming area, has some great bars / restaurants, and excellent food markets",None
369,I'd guess it was pretty much the same deal as LOCATION1,None
585,I'd prefer somewhere like LOCATION1,None
96,I'll give you an idea of the areas in SE London around LOCATION1,None
589,I'll go with LOCATION1,None
515,"I'm researching my family history and my 3xgreat grandfather was born in 'LOCATION1 Court Rd"" in London",None
612,I've been offered a job in LOCATION1 and will be relocating from the US,None
53,I've been too all of those places and my favorite is LOCATION1 it's really lovely,None
447,I've lived in LOCATION1 all my life and haven't been stabbed once,None
217,I've lived in LOCATION1 for 34 years and never had any problem,None
574,I've lived in LOCATION1 my whole life and frankly I hate it,None
8,IO have a friend in LOCATION1 but she says it's a pain in the ar travelling to central every day for work,None
223,Id live in LOCATION1  and has transport links via national rail,None
316,"Id suggest LOCATION1 is an area on the up , the main high street seem to be thriving these days so you might find good value",None
666,"Ideally in LOCATION2 / LOCATION1, although rest of London is cool",None
641,If London is a must then avoid the area around LOCATION1 and LOCATION2 in the South-East,None
248,"If London, a good place is LOCATION1",None
484,If it's a fine day without mist or rain take him to LOCATION1,None
677,If money isn't an object them you could try LOCATION1 or LOCATION2 as they're Thameside and both have direct tube links to SK,None
373,If money was no object - LOCATION1 in LOCATION2,None
254,"If not, how much would it cost to get from the LOCATION2 DLR area to London LOCATION1 by taxi",None
474,"If you are catholic please stay in Canada we don't want you I wouldn't say south-west because it is north of the River so just west  Also interestingly, LOCATION1 FC are not actually situated in LOCATION1",None
246,If you are in LOCATION1 head to 'La Pietra' one of the better Italian restaurants in the area,None
658,"If you are really scared of crime statistics, choose LOCATION1 or even LOCATION2",None
717,If you have a reasonable budget go for LOCATION2 or LOCATION1,None
741,"If you lived in LOCATION1 or LOCATION2, expect to get your head kicked in a fair few times",None
331,If you visited the really working class areas in the east end and LOCATION1 maybe you would have got a different picture,None
84,If you walk over LOCATION1 Bridge you are at LOCATION2,None
699,If you want a decent place to bring up kids or have a decent standart of living try LOCATION1 or LOCATION2,None
128,"If you want an area which is entirely newly built, you will have to go somewhere like LOCATION2 in the LOCATION1 area of London",None
126,"If you want space , LOCATION2 is your best bet I 'm from LOCATION1 and have also lived in South London a bit",None
702,If you want to live in Essex stick to areas like LOCATION2 or LOCATION1,None
279,If you want to see the London NYE fireworks live; you can only do this from a small tight area along the LOCATION1 Embankment,None
411,If you work East in the London then Shad Thames area beside Tower Bridge or the new apartment complexes in LOCATION1,None
561,If you're into shopping head to LOCATION1,None
720,"If your a quiet person who enjoys their space and likes to reflect on the world then a quiet suburban area near London like LOCATION1, or LOCATION2",None
394,"If your budget is restricted then I would say LOCATION2 (LOCATION1, Aldgate, Aldgate East, Tower of Hamlets) there are a flats that are a reasonable price",None
273,"If your looking for somewhere in particular though LOCATION1 is a good place , and like all places it has a range of expensive and not so expensive areas : )",None
489,"If your looking to be within the Greater London area, maybe try looking at LOCATION1, which is  just slightly less expensive",None
173,"In LOCATION1, there's the Geffrye Museum which has regular children's special days, and the Museum of Childhood which is all about children",None
358,In general LOCATION1 is a good place to go as there are so many different shops and stalls to go to and it's mostly affordable,None
721,In my opinion LOCATION2 isn't too far out but LOCATION1 can be quite a treck,None
710,In other words the best place to live in London is LOCATION1 and LOCATION2 all the other places are dumps,None
631,"In the summer of 1965, Ronnie Scott's moved to its present home at 47 Frith Street in London's LOCATION1",None
191,Is it ok to live near LOCATION1,None
263,"It has a lot of investment and public and media attention coming in because several of its boroughs will be the hosts for the 2012 olympics, in terms of people, you have middle class types in LOCATION1, every race in LOCATION2 as a total, and it is a mix of inner London and suburbia",None
600,"It has good nightlife, live theatre and is close to the very beautiful Surrey Hills Very green and leafy: richmond, LOCATION2, LOCATION1, Walton On The Hill-on-thames",None
432,It is really easy to travel via subway in London especially being located near LOCATION1,None
448,It's close to LOCATION1 park which is a major sports  site and the park itself is great with a number of attractions including the famous victorian dinosaurs,Positive
18,It's cool working in LOCATION1 as I like being on the victoria line,None
27,"It's kent, and so is LOCATION1",None
361,"Its part of LOCATION2  you never hear ""I live in LOCATION1"" in conversation - it'd sound weird",None
518,Its right between LOCATION2 village and LOCATION1,None
531,Just a couple of ideas  LOCATION1 is much better than it used to be and is very central,None
567,"Just think of Little Somalia and its there, right in LOCATION1",None
357,Katy Ortega http;// LOCATION1,None
32,Kingsroad in LOCATION1,None
469,LOCATION1  It's pricey but at night it's beautiful,None
104,LOCATION1  has improved in recent years with the opening of the international rail terminal at St Pancras,None
211,LOCATION1  have a big Bangladeshi population,None
383,LOCATION1  is fine and I never had any trouble,None
166,LOCATION1  they actually have deer running about in the park,Positive
275,"LOCATION1 , on the other hand , is dodgy",None
188,"LOCATION1 , south London is also home to a sizeable Brazilian community that lives alongside the UK 's single largest Portuguese community in ` Little Portugal '",None
618,"LOCATION1 - Central, fairly affordable",None
22,"LOCATION1 - Exciting neighbourhood, full of culture",None
162,"LOCATION1 - Good shopping area, loads of offices, very modern, skyscrapers etc  Very different from the rest of London",None
617,LOCATION1 - It is a real inner-London area with all the advantages and problems of that,None
299,LOCATION1 - This is a major outer London centre,None
342,"LOCATION1 - is exactly like LOCATION2 and is only 5 mins down the road , how much dough can you afford to spend and i will tell you the nicest place to live",None
230,LOCATION1 - right at the end of the Northern Line,None
587,LOCATION1 Bells,None
435,"LOCATION1 Est  again not somewhere I'd chose to live, but again, mainly council housing so its unlikely it would come up",None
134,"LOCATION1 I think is a bit of a dead area , not much there and transport is awkward",None
196,LOCATION1 I think is generally safer,None
516,LOCATION1 LOCATION1 Village is very upmarket and many artists live there,None
177,LOCATION1 LOCATION2 Park Lane richmond St  James Park,None
204,"LOCATION1 London Farm has a wide range of livestock, poultry, and horses, and offers pony rides on Saturday and Sunday, 1.30pm-2.30pm (for 1)",Positive
645,"LOCATION1 N1 , N7 and N5 is also nice and LOCATION2 NW1 is also nice , both a bit more upscale than Stokey",None
301,"LOCATION1 North, SE1",None
430,LOCATION1 Road and the streets around it are where you are more likely to find students,None
90,"LOCATION1 Road, British Rail",None
452,LOCATION1 SW12 is ideal for a young 20-30 ish couple,None
181,LOCATION1 Village  is not Central London,None
626,LOCATION1 [LOCATION2,None
151,LOCATION1 a large park in central London; there is no admission charge,Positive
10,"LOCATION1 aint cheap you muppet, that's prime location",None
643,LOCATION1 and LOCATION2 are handiest for transport though,None
707,"LOCATION1 and LOCATION2 are my top picks for location , being a `` good '' area full of parks and other nice things , however they 're quite posh and",Positive
724,LOCATION1 and LOCATION2 are the most dangerous,None
652,LOCATION1 and LOCATION2 are the most dangerous areas in London,None
718,LOCATION1 and LOCATION2 no go areas,None
406,LOCATION1 and The Royal Observatory,None
354,"LOCATION1 and surrounding areas have plenty of restaurants , bars as well as its quiet side",None
425,LOCATION1 another example,None
155,LOCATION1 at its widest point is 9.6 miles by 5.4 miles in length,None
409,LOCATION1 but its not cheap,None
415,LOCATION1 certainly isn't known for high crime levels  No at all,None
94,LOCATION1 for Indian food,None
154,LOCATION1 from what I see is quite posh,None
133,LOCATION1 has a cinema and a lot of different places to eat,None
601,LOCATION1 has a really cool market which attracts goths,None
496,"LOCATION1 has a reputation as an affluent and fashionable area, known for attractive terraces of large Victorian townhouses, and high-class shopping and restaurants",None
45,LOCATION1 has a vibrant Indian community Maximum indians are living there,None
64,"LOCATION1 has an amazing nightlife , it 's a really beautiful and vibrant part of the London and there 's always loads going on",None
1,LOCATION1 has some trendy bars and a few restaurant mainly limited to hoxton Square,None
124,LOCATION1 has the craziest places,None
29,"LOCATION1 has the nicest areas , pricey though",None
450,"LOCATION1 has very good buses , is in walking distance of LOCATION1 or Elephant tube and has trains from Denmark Hill station",None
125,LOCATION1 i kno it is just outside London but is nice,None
504,LOCATION1 if you can afford is great,None
225,"LOCATION1 in LOCATION2 is a nice area , and pretty cheap",None
235,LOCATION1 in London is almost three times as large as New York London 's LOCATION2,None
308,LOCATION1 in SW London is a nice part of London,None
157,"LOCATION1 in the North, not too far from LOCATION2, has good schools and is a really nice pocket of London",None
597,LOCATION1 is Great too,None
494,LOCATION1 is OK but where are you coming from,None
296,LOCATION1 is a 30 minute train ride from LOCATION1 Station in central London,None
743,LOCATION1 is a better area after LOCATION2,None
740,"LOCATION1 is a bit of a dump, LOCATION2 is slightly nicer",None
213,LOCATION1 is a brilliant place to live,None
256,LOCATION1 is a clean area with park and shops along the whole chiswick High Road,Positive
377,LOCATION1 is a commuter town for people working in London,None
218,LOCATION1 is a decent area and easy to get to work on the train,None
244,LOCATION1 is a good area for a newcomer,None
282,LOCATION1 is a good area of London to live in,None
505,LOCATION1 is a good place,None
38,LOCATION1 is a good place to start out in London,None
568,"LOCATION1 is a great area with heaps of pubs , restaurants and young people everywhere",None
113,LOCATION1 is a great place to live,None
628,LOCATION1 is a high class quiet residential area BUT there are also two penal establishments in the area,None
70,LOCATION1 is a lovely part of London and I 'd definitely want to live there given an opportunity,None
451,"LOCATION1 is a major transport centre for trains , buses and Tube lines",None
158,LOCATION1 is a museum to some of the best curry London has to offer,None
319,LOCATION1 is a nice place,None
250,"LOCATION1 is a nice place to live near Roundwood Park , it is located in North West of London",Positive
467,"LOCATION1 is a very nice area with restaurants and bars, and only about 15 minutes on the tube (Jubilee Line) from the centre of town",None
51,LOCATION1 is a very popular place for Australians and South Africans so you 'd probably find a lively community you 'd fit in with there,None
14,LOCATION1 is about the safest area in London,None
497,LOCATION1 is actually more normally known as LOCATION1,None
83,LOCATION1 is also a good area to live,None
477,LOCATION1 is also a good choice and has much more going on than the other two places,None
620,LOCATION1 is also a good location,None
571,"LOCATION1 is also a great place , but incredibly pricey Depends what your budget is like",None
622,LOCATION1 is also not bad,None
310,LOCATION1 is also quite hip but is still a bit edgy,None
705,"LOCATION1 is also very popular, as is LOCATION2",None
65,LOCATION1 is amazing,None
19,LOCATION1 is an amazing place to live,None
136,"LOCATION1 is an area with lots of places to eat , has a market through the week",None
243,LOCATION1 is beautiful and has so much for kids there,None
715,LOCATION1 is best  LOCATION2 are extremely unpleasant,None
542,"LOCATION1 is better , you can see live music in a pub and it does have a better atmosphere ( albeit seriously pretencions ) but it is off the beaten track a bit",None
185,LOCATION1 is cheaper to live in than LOCATION2 by the way,None
607,LOCATION1 is cheapest place to stay near to London with rates upto 600pounds for descent space,None
179,LOCATION1 is close to three commons,None
605,"LOCATION1 is excellent for transport ( trains , buses , and another tube station , this one with more lines )",None
67,LOCATION1 is fine but it can be very noisy depending where you live and the trains and buses are always crowded during morning and evening commutes,None
109,"LOCATION1 is full of artists , designers , entrepreneurs and IT people",None
438,LOCATION1 is full of everything including markets and street entertainers and musicians - it  is really entertaining and good fun,None
182,LOCATION1 is generally cheaper than LOCATION1 because of the lack of tube stations so you might want to start there,None
12,LOCATION1 is good,None
212,LOCATION1 is good if you like to have good transport but still feel like a little town on its own,None
476,"LOCATION1 is great , as it 's very posh",None
374,LOCATION1 is great Tube/overground/THE COMMONS London is a very strange place to live as alot of the rougher areas close to town are expensive and the nice parts are cheaper because there out of town,None
